Overall rank,Country,Score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,GDP,Gini
1,Finland,7.769,1.587,0.986,0.596,0.153,0.393,48358.1807773701,27.4
2,Denmark,7.6,1.573,0.996,0.592,0.252,0.41,59404.2663247723,29.9
3,Norway,7.554,1.582,1.028,0.603,0.271,0.341,76430.5889473338,26.5
4,Iceland,7.494,1.624,1.026,0.591,0.354,0.118,69296.3144361601,26.8
5,Netherlands,7.488,1.522,0.999,0.557,0.322,0.298,53554.9007491475,25.7
6,Switzerland,7.48,1.526,1.052,0.572,0.263,0.343,84121.9310304414,33.8
7,Sweden,7.343,1.487,1.009,0.574,0.267,0.373,51648.9892820514,29.3
9,Canada,7.278,1.505,1.039,0.584,0.285,0.308,46352.8693445211,31.1
10,Austria,7.246,1.475,1.016,0.532,0.244,0.226,49885.9947355204,31.2
11,Australia,7.228,1.548,1.036,0.557,0.332,0.29,55194.7585097428,33.8
12,Costa Rica,7.167,1.441,0.963,0.558,0.144,0.093,12884.6859951989,45.8
13,Israel,7.139,1.455,1.029,0.371,0.261,0.082,44250.6313628073,37.9
14,Luxembourg,7.09,1.479,1.012,0.526,0.194,0.316,112696.649059674,33.6
15,United Kingdom,7.054,1.538,0.996,0.45,0.348,0.278,43158.7411267323,32.4
16,Ireland,7.021,1.553,0.999,0.516,0.298,0.31,81827.6688873996,29.0
17,Germany,6.985,1.454,0.987,0.495,0.261,0.265,47656.199739747,32.4
18,Belgium,6.923,1.504,0.986,0.473,0.16,0.21,46716.6227467964,26.8
19,United States,6.892,1.457,0.874,0.454,0.28,0.128,64746.4506778863,41.8
21,United Arab Emirates,6.825,1.31,0.825,0.598,0.262,0.182,45938.6073581994,26.4
22,Malta,6.726,1.52,0.999,0.564,0.375,0.151,32421.9179752262,34.6
23,Mexico,6.595,1.323,0.861,0.433,0.074,0.073,10369.5553585271,43.5
24,France,6.592,1.472,1.045,0.436,0.111,0.183,40408.2848574751,31.8
26,Chile,6.444,1.369,0.92,0.357,0.187,0.056,14495.716721687,43.0
27,Guatemala,6.436,1.269,0.746,0.535,0.175,0.078,4511.99839552697,45.2
29,Qatar,6.374,1.313,0.871,0.555,0.22,0.167,66841.3623185691,35.1
30,Spain,6.354,1.484,1.062,0.362,0.153,0.079,29786.5245689007,33.4
31,Panama,6.321,1.442,0.91,0.516,0.109,0.054,16477.9066268111,49.7
32,Brazil,6.3,1.439,0.802,0.39,0.099,0.086,9029.83304401079,51.6
33,Uruguay,6.293,1.465,0.891,0.523,0.127,0.15,18315.7316980028,40.0
35,El Salvador,6.253,1.242,0.789,0.43,0.093,0.074,4320.11671534627,39.8
36,Italy,6.223,1.488,1.039,0.231,0.158,0.03,33812.788724868,34.3
40,Poland,6.182,1.438,0.884,0.483,0.117,0.05,15874.5220531254,28.5
41,Uzbekistan,6.174,1.529,0.756,0.631,0.322,0.24,2041.38480729431,34.6
42,Lithuania,6.149,1.515,0.818,0.291,0.043,0.042,19608.7943945553,36.0
43,Colombia,6.125,1.41,0.841,0.47,0.099,0.034,6472.54544924705,53.9
44,Slovenia,6.118,1.523,0.953,0.564,0.144,0.057,25814.1687167572,24.7
45,Nicaragua,6.105,1.325,0.835,0.435,0.2,0.127,1958.62051528095,46.2
46,Kosovo,6.1,1.232,0.758,0.489,0.262,0.006,4415.99923011071,38.3
47,Argentina,6.086,1.432,0.881,0.471,0.066,0.05,9955.97478680428,42.4
48,Romania,6.07,1.232,0.825,0.462,0.083,0.005,12909.6104013244,29.8
49,Cyprus,6.046,1.223,1.042,0.406,0.19,0.041,29227.173828125,31.8
50,Ecuador,6.028,1.312,0.868,0.498,0.126,0.087,6205.05765246766,45.2
52,Thailand,6.008,1.409,0.828,0.557,0.359,0.028,7605.69657797759,33.5
53,Latvia,5.94,1.465,0.812,0.264,0.075,0.064,17294.9751600969,34.0
55,Estonia,5.893,1.528,0.874,0.495,0.103,0.161,24021.2501413306,30.7
